id,name,brand,category,volume_size,current_price_rsd,original_price_rsd,url_slug,image_url
250,Redken Frizz Dismiss Shampoo,Redken,Shampoo,300ml,3840,,rk-frz-sf-shmp-300ml-1,https://www.altamoda.rs/uploads/store/products/images/rk-frz-sf-shmp-300ml-1-60fb07d27e7b8.webp
251,Redken Extreme Shampoo,Redken,Shampoo,300ml,3840,,redken-extreme-sampon-300ml-1,https://www.altamoda.rs/uploads/store/products/images/redken-extreme-sampon-300ml-1-61542fc845080.webp
252,Redken All Soft Heavy Cream Mask,Redken,Masks,250ml,6000,,redken-all-soft-heavy-cream-maska-250ml,https://www.altamoda.rs/uploads/store/products/images/redken-all-soft-heavy-cream-maska-250ml-60def89eb73aa.webp
253,Redken All Soft Shampoo,Redken,Shampoo,300ml,3840,,redken-all-soft-sampon-300ml-1,https://www.altamoda.rs/uploads/store/products/images/redken-all-soft-sampon-300ml-1-60def89e85ed7.webp
254,Redken Acidic Bonding Concentrate Shampoo,Redken,Shampoo,300ml,4920,,rk-abc-shmp-300ml,https://www.altamoda.rs/uploads/store/products/images/rk-abc-shmp-300ml-643e77137703b.webp
255,Redken Acidic Bonding Concentrate Conditioner,Redken,Conditioner,300ml,4920,,rk-abc-cond-300ml,https://www.altamoda.rs/uploads/store/products/images/rk-abc-cond-300ml-643e773f23a2d.webp
256,Redken Acidic Bonding Concentrate Leave-In Treatment,Redken,Treatment,150ml,6000,,rk-abc-lotn-150ml,https://www.altamoda.rs/uploads/store/products/images/rk-abc-lotn-150ml-643e7772e463e.webp
257,Matrix High Amplify Wonder Boost Spray,Matrix,Styling,200ml,2880,,matrix-wonder-boost-root-lifter-sprej-za-volumen-200ml,https://www.altamoda.rs/uploads/store/products/images/matrix-wonder-boost-root-lifter-sprej-za-volumen-200ml-60def83462b5f.webp
258,Matrix Brass Off Shampoo,Matrix,Shampoo,300ml,2100,,matrix-brass-off-sampon-300ml,https://www.altamoda.rs/uploads/store/products/images/matrix-brass-off-sampon-300ml-60def833ef5b9.webp
259,Matrix Brass Off Conditioner,Matrix,Conditioner,300ml,2100,,matrix-brass-off-regenerator-300ml,https://www.altamoda.rs/uploads/store/products/images/matrix-brass-off-regenerator-300ml-60def833b3bb0.webp
260,Matrix Mega Sleek Conditioner,Matrix,Conditioner,300ml,2000,,matrix-mega-sleek-regenerator-300ml,https://www.altamoda.rs/uploads/store/products/images/matrix-mega-sleek-regenerator-300ml-6526a6f5ca302.webp
261,Matrix High Amplify Shampoo,Matrix,Shampoo,300ml,2000,,matrix-high-amplify-sampon-300ml,https://www.altamoda.rs/uploads/store/products/images/matrix-high-amplify-sampon-300ml-6526ab6a4ce9e.webp
262,Matrix High Amplify Conditioner,Matrix,Conditioner,300ml,2000,,matrix-high-amplify-regenerator-300ml,https://www.altamoda.rs/uploads/store/products/images/matrix-high-amplify-regenerator-300ml-672e0a86313ba.webp
263,Matrix So Silver Conditioner,Matrix,Conditioner,300ml,2100,,matrix-so-silver-regenerator-300ml,https://www.altamoda.rs/uploads/store/products/images/matrix-so-silver-regenerator-300ml-60def82f58174.webp
